x,y,z,S_u,S_v,S_w
0.0,0.15000000000000002,0.35000000000000003,1.2708009230788149,2.889939878436139,-0.14188288378133596
0.0,0.15000000000000002,0.4,1.3564474176089107,2.8356355052778186,-1.705517688571938
0.0,0.15000000000000002,0.45,1.408693674926595,2.720784217623068,-3.4698479175382526
0.0,0.15000000000000002,0.5,1.426253218781319,2.5416018461576297,-5.276329147517308
0.0,0.15000000000000002,0.55,1.4086936749265948,2.300222050421379,-6.952889642752005
0.0,0.15000000000000002,0.6000000000000001,1.3564474176089107,2.0048668071967573,-8.33065674715684
0.0,0.15000000000000002,0.65,1.2708009230788149,1.6694209319856954,-9.260604504625006
0.0,0.15000000000000002,0.7000000000000001,1.153863092276057,1.3124429416235501,-9.628490036749806
0.0,0.15000000000000002,0.75,1.0085133226894114,0.9556999709356764,-9.366608015611643
0.0,0.15000000000000002,0.8,0.8383306080343297,0.6223614995860018,-8.461198547644017
0.0,0.15000000000000002,0.8500000000000001,0.6475054115496678,0.33502071078966744,-6.954764116893551
0.0,0.15000000000000002,0.9,0.44073648288539763,0.11373004035685641,-4.943044903791179
0.0,0.15000000000000002,0.9500000000000001,0.22311515929196316,-0.02576287487811868,-2.566920590174924
0.0,0.15000000000000002,1.0,1.7465987538792204e-16,-0.07341106720584145,-2.0264405015502763e-15
0.0,0.2,0.0,0.0,3.2342784562471416,0.0
0.0,0.2,0.05,0.28886904080578485,3.2494104361758995,0.8567587112951335
0.0,0.2,0.1,0.5706251671255496,3.291755350542183,1.5747446691350553
0.0,0.2,0.15000000000000002,0.8383306080343296,3.3524974324419174,2.030121162569452
0.0,0.2,0.2,1.08539356711353,3.4180341315815643,2.1274282310615398
0.0,0.2,0.25,1.3057305343556695,3.471496159846061,1.8101798967003946
0.0,0.2,0.30000000000000004,1.493916082370778,3.4946561893767196,1.0675497380998236
0.0,0.2,0.35000000000000003,1.6453164584146955,3.470033028090246,-0.06353809732221283
0.0,0.2,0.4,1.7562036827601815,3.3829774228586915,-1.5011425182513118
0.0,0.2,0.45,1.8238473439302512,3.2235260929580902,-3.1256178527481766
0.0,0.2,0.5,1.8465818304904567,2.987832164741556,-4.790806612943439
0.0,0.2,0.55,1.823847343930251,2.679020779091099,-6.33802981455246
