x,y,S_u,S_v,S_p
0.8,0.08,-1.002196298977374,2.9424466870252424,0.0
0.8200000000000001,0.08,-1.0565067469042984,2.8016765522585616,0.0
0.84,0.08,-1.0898421288006461,2.6528359749351833,0.0
0.86,0.08,-1.1031945463758897,2.496512360815008,0.0
0.88,0.08,-1.097882277196931,2.3333226477855042,0.0
0.9,0.08,-1.0755229509783786,2.16391087108971,0.0
0.92,0.08,-1.0380019851823143,1.9889456216133659,0.0
0.9400000000000001,0.08,-0.9874368016070295,1.8091174072621357,0.0
0.96,0.08,-0.9261374121641607,1.625135927842368,0.0
0.98,0.08,-0.856564019193037,1.4377272742001885,0.0
1.0,0.08,-0.7812823225391825,1.2476310626726537,0.0
0.0,0.1,0.9708055193627332,0.31331581770635086,0.0
0.02,0.1,1.2836401293835416,0.5021269981163019,0.0
0.04,0.1,1.589080961427213,0.6926003200956697,0.0
0.06,0.1,1.8836314546237864,0.8839840724615847,0.0
0.08,0.1,2.1639108710897097,1.0755229509783786,0.0
0.1,0.1,2.4267026217825776,1.2664610391983353,0.0
0.12,0.1,2.6690002440325427,1.4560447917185657,0.0
0.14,0.1,2.8880503244033378,1.6435260080804501,0.0
0.16,0.1,3.0813917076870965,1.8281647855750287,0.0
0.18,0.1,3.2468903903143422,2.009232439300964,0.0
0.2,0.1,3.3827695633615713,2.186014377950942,0.0
0.22,0.1,3.487634345613203,2.357812923977096,0.0
0.24,0.1,3.5604908296000657,2.5239500670055524,0.0
0.26,0.1,3.6007591518974724,2.683770139633617,0.0
0.28,0.1,3.608280391834163,2.836642405049473,0.0
0.3,0.1,3.583317198679585,2.9819635462622194,0.0
0.32,0.1,3.5265481448343086,3.1191600471184033,0.0
0.34,0.1,3.439055900015401,3.2476904557082653,0.0
0.36,0.1,3.3223094173740866,3.3670475212290576,0.0
0.38,0.1,3.1781404153998887,3.4767601958722265,0.0
0.4,0.1,3.008714527894152,3.57639549383391,0.0
0.42,0.1,2.8164975768480387,3.66556020011209,0.0
0.44,0.1,2.604217498439747,3.7439024223465664,0.0
0.46,0.1,2.3748225193903134,3.811112979577337,0.0
0.48,0.1,2.1314362385356738,3.8669266224405936,0.0
0.5,0.1,1.8773103157822724,3.9111230799867838,0.0
0.52,0.1,1.6157755068739794,3.943527928989413,0.0
0.54,0.1,1.3501918070435202,3.9640132823138354,0.0
0.56,0.1,1.083898479269001,3.972498293629348,0.0
0.58,0.1,0.8201647433115264,3.9689494764727202,0.0
0.6,0.1,0.5621418899715331,3.953380836403969,0.0
0.62,0.1,0.31281756125972104,3.9258538157328107,0.0
0.64,0.1,0.07497290181256444,3.886477051033936,0.0
0.66,0.1,-0.14885675954488153,3.835405944408077,0.0
0.68,0.1,-0.35641709593835236,3.772842050180918,0.0
0.7000000000000001,0.1,-0.54576530031307,3.699032279460249,0.0
0.72,0.1,-0.7152954736144848,3.6142679256906276,0.0
0.74,0.1,-0.8637585036177531,3.5188835150512325,0.0
0.76,0.1,-0.9902761424024111,3.4132554862338664,0.0
0.78,0.1,-1.0943490826485862,3.297800704811414,0.0
0.8,0.1,-1.1758589281748806,3.172974818059878,0.0
0.8200000000000001,0.1,-1.2350640509410962,3.0392704567267432,0.0
0.84,0.1,-1.2725894235727742,2.8972152908424804,0.0
0.86,0.1,-1.2894106118001805,2.747369947248001,0.0
0.88,0.1,-1.2868322035371815,2.590325797056648,0.0
0.9,0.1,-1.2664610391983353,2.426702621782578,0.0
