x,rho,u,p,e
0.1758793970,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1809045226,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1859296482,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1909547739,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.1959798995,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2010050251,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2060301508,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2110552764,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2160804020,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2211055276,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2261306533,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2311557789,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2361809045,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2412060302,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2462311558,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2512562814,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2562814070,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2613065327,1.0000000000,0.0000000000,1.0000000000,2.5000000000
0.2663316583,0.9895679439,0.0123952067,0.9854256571,2.4895351127
0.2713567839,0.9721439534,0.0333332302,0.9612200275,2.4719076433
0.2763819095,0.9549662686,0.0542712536,0.9375258352,2.4543428026
0.2814070352,0.9380322688,0.0752092771,0.9143340432,2.4368405906
0.2864321608,0.9213393522,0.0961473005,0.8916357427,2.4194010073
0.2914572864,0.9048849353,0.1170853240,0.8694221518,2.4020240526
0.2964824121,0.8886664533,0.1380233474,0.8476846139,2.3847097267
0.3015075377,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3065326633,0.4263194282,0.9274526200,0.3031301781,1.7776000694
0.3115577889,0.4263194282,0.9274526200,0.3031301781,1.7776000694
